der Einsatz, commitment / mission 
leisten sich, to afford
saugen, to suck
wischen, to wipe
der Staub, dust
die Fernbedienung, remote control
die Leistung, performance 
Mehrwertsteuer, VAT
der Verbrauch, consumption
Zinsen, interest
die Schüssel, the bowl
bedienen, to serve (e.g. food)
überzeugen, convince / persuade 
die Rate, the installment (e.g. regular payment of a debt)
das Treppenhaus,the stairwell
die Glühbirne,the bulb
gerade erst,just now
der Hammer,the hammer
die Zange,pilers
der Bohrer,the drill
reichen,pass (something to someone) / be sufficient
das Werkzeug,tool
die Klingel,bell
der Schalter,switch,
die Steckdose,socket
die Stufe,step (on a ladder)
der Hausmeister, landlord
einziehen, pull something in / move in
der Rentner, pensioner
due Fähigkeit,ability / skill
die Kenntnis,knowledge
erkundigen,to inquire
ausleihen,to lend 
leihen,to borrow
erledigen,to complete
übrigens,by the way 
das Gesetz,the law
verlangen,require (e.g. by law)
erledigen,to accomplish
erfahren,to find out
echt,really
wohl,well
rechtzeitig,on time
bewundern,to admire
schaffen,to mange (formal)
bevorzugen,to prefer
wischen,wipe
der Staub,the dust
der Fussboden,floor (wooden, at home)
wischen,wip
der Müll,rubbish / refuse 
wegbringen,to through away (the waste)
bellen,to bark
binden,tie
due Aufführung,the performance (art, music)
die Frist,deadline
ausfüllen,to fill out (e.g. the form)
die Weise,way
bevorzugen,prefer
ermöglichen,enable / make possible
die Wurzel,root
das Bergsteigen,mountaineering
überwältigend,overwhelming
die Stille,silence
ausschlisslich,exclusively
begleiten,to accompany
die Entlohnung,renumeration
anerkennen,to acknowledge / recognise (e.g. a diploma) / appreciate  
zuständig,responsible
fleissig,hard working / conscientious
teamfähig,able to work in team
erledigen,do or deal with something / finish something (e.g. career of topic or task)
erledigt,finished (e.g. task or career) / exhausted (topic)
bestehen,to exist / to pass (an exam)
Vorstellungsgespräch,job interview
sinnvolle,meaningful
der Verlag,publisher
der Lebenslauf,CV / resume
stattdessen,instead 
verhindert,prevented / blocked (e.g. blocked this time for a meeting) 
ganztägig,full day
verfügbar,available
das Auswahlverfahren,selection process (e.g. for a job)
die Rückmeldung,feedback
erscheinen,to appear
stossen,to push
schmücken,decorate
treiben,to drive (figurative e.g. drive price up) 
vorsichtig,carefully (e.g. not to hurt)
sorgfältig,carefully (i.e. with attention - e.g. listen carefully) 
peinlich,embarrassing
die Erziehung,upbringing
das Talent,talent
das Zertifikat,the certificate
die Zusage,the promise / consent / job offer
die Absage,rejection
die Trennung,separation
abhängig,depending on
berufstätig,occupied
schätzen,recon / think / guess 
fleissig,hard-working
das Aussehen,appearance
achten auf,pay attention to smth smb
der Satz,sentence
leiden,suffer
gegenseitig,mutually
die Tiefe,Depth
die Höhe,Height
die Breite,Width
die Breite,Breadth
die Länge,Length
die Größe,Size
das Gewicht,Weight
die Masse,Mass
das Volumen,Volume
die Entfernung,Distance
die Fläche,Area
die Form,Shape
die Farbe,Color
die Textur,Texture
das Muster,Pattern
die Oberfläche,Surface
der Rand,Edge
die Ecke,Corner
der Punkt,Point
die Linie,Line
die Kurve,Curve
der Winkel,Angle
die Neigung,Slope
das Niveau,Level
die Position,Position
die Richtung,Direction
die Bewegung,Movement
die Geschwindigkeit,Speed
die Beschleunigung,Acceleration
die Kraft,Force
die Energie,Energy
die Temperatur,Temperature
der Druck,Pressure
die Dichte,Density
die Viskosität,Viscosity
die Elastizität,Elasticity
die Spannung,Tension
die Reibung,Friction
die Schwerkraft,Gravity
der Magnetismus,Magnetism
der Klang,Sound
die Tonhöhe,Pitch
die Lautstärke,Volume
der Klangfarbe,Timbre
der Rhythmus,Rhythm
die Harmonie,Harmony
die Melodie,Melody
der Akkord,Chord
der Beat,Beat
das Tempo,Tempo
das Genre,Genre
der Stil,Style
das Instrument,Instrument
die Stimme,Voice
das Lied,Song
der Musiker/die Musikerin,Musician
das Publikum,Audience
das Konzert,Concert
die Aufführung,Performance
die Bühne,Stage
das Theater,Theater
der Film,Film
die Kamera,Camera
die Einstellung,Shot
die Szene,Scene
die Handlung,Plot
der Charakter,Character
der Dialog,Dialogue
der Soundtrack,Soundtrack
die Spezialeffekte,Special effects
der Regisseur/die Regisseurin,Director
der Schauspieler/die Schauspielerin,Actor
die Schauspielerin,Actress
das Drehbuch,Screenplay
die Produktion,Production
die Animation,Animation
der Zeichentrickfilm,Cartoon
die Dokumentation,Documentary
die Nachrichten,News
das Interview,Interview
der Sport,Sports
das Spiel,Game
das Team,Team
der Spieler/die Spielerin,Player
das Ergebnis,Score
die Meisterschaft,Championship
die Olympischen Spiele,Olympic games
das Schwimmen,Swimming
das Laufen,Running
das Radfahren,Cycling
der Fußball,Football
der Basketball,Basketball
das Tennis,Tennis
das Golf,Golf
das Skifahren,Skiing
das Snowboardfahren,Snowboarding
good,gut
bad,schlecht
big,groß
small,klein
tall,groß
short,kurz
long,lang
wide,breit
narrow,eng
thick,dick
thin,dünn
heavy,schwer
light,leicht
strong,stark
weak,schwach
old,alt
young,jung
new,neu
old (not new),alt
beautiful,schön
ugly,hässlich
pretty,hübsch
handsome,gutaussehend
clean,sauber
dirty,schmutzig
full,voll
empty,leer
hot,heiß
cold,kalt
warm,warm
cool,kühl
wet,nass
dry,trocken
soft,weich
hard,hart
smooth,glatt
rough,rau
sharp,scharf
dull,stumpf
fast,schnell
slow,langsam
early,früh
late,spät
high,hoch
low,niedrig
deep,tief
shallow,flach
near,nah
far,weit
close,nahe
distant,entfernt
open,offen
closed,geschlossen
dark,dunkel
bright,hell
loud,laut
quiet,leise
happy,glücklich
sad,traurig
angry,wütend
calm,ruhig
rich,reich
poor,arm
expensive,teuer
cheap,billig
easy,einfach
difficult,schwer
same,gleich
different,verschieden
better,besser
worse,schlechter
right,richtig
wrong,falsch
ready,fertig
important,wichtig
interesting,interessant
boring,langweilig
famous,berühmt
unknown,unbekannt
comfortable,bequem
uncomfortable,unbequem
healthy,gesund
sick,krank
tired,müde
awake,wach
alive,lebendig
dead,tot
clean,sauber
dirty,schmutzig
true,wahr
false,falsch
certain,sicher
uncertain,unsicher
clear,klar
unclear,unklar
possible,möglich
impossible,unmöglich
present,gegenwärtig
absent,abwesend
whole,ganz
house,das Haus
work,die Arbeit
year,das Jahr
friend,der Freund
city,die Stadt
country,das Land
child,das Kind
family,die Familie
school,die Schule
problem,das Problem
car,das Auto
time,die Zeit
woman,die Frau
man,der Mann
water,das Wasser
food,das Essen
morning,der Morgen
evening,der Abend
day,der Tag
night,die Nacht
week,die Woche
month,der Monat
world,die Welt
number,die Zahl
question,die Frage
answer,die Antwort
word,das Wort
thing,das Ding
hand,die Hand
eye,das Auge
head,der Kopf
room,das Zimmer
door,die Tür
table,der Tisch
chair,der Stuhl
floor,der Boden
wall,die Wand
window,das Fenster
glass,das Glas
book,das Buch
letter,der Brief
paper,das Papier
pen,der Stift
telephone,das Telefon
computer,der Computer
television,der Fernseher
radio,das Radio
money,das Geld
price,der Preis
bill,die Rechnung
street,die Straße
road,der Weg
park,der Park
garden,der Garten
tree,der Baum
flower,die Blume
river,der Fluss
mountain,der Berg
sea,das Meer
weather,das Wetter
sun,die Sonne
moon,der Mond
wind,der Wind
rain,der Regen
snow,der Schnee
cloud,die Wolke
store,der Laden
restaurant,das Restaurant
hotel,das Hotel
bank,die Bank
hospital,das Krankenhaus
police,die Polizei
cinema,das Kino
theater,das Theater
museum,das Museum
library,die Bibliothek
church,die Kirche
school,die Schule
office,das Büro
factory,die Fabrik
train,der Zug
bus,der Bus
plane,das Flugzeug
boat,das Boot
bicycle,das Fahrrad
airport,der Flughafen
to be,sein
to have,haben
to become,werden
to can (be able to),können
to must (have to),müssen
to want,wollen
to should (ought to),sollen
to may (be allowed to),dürfen
to like,mögen
to go,gehen
to stand,stehen
to sit,sitzen
to lie,liegen
to put,legen
to hang,hängen
to come,kommen
to bring,bringen
to take,nehmen
to carry,tragen
to hold,halten
to give,geben
to find,finden
to know (a fact),wissen
to know (be acquainted with),kennen
to think,denken
to believe,glauben
to mean,meinen
to say,sagen
to speak,sprechen
to read,lesen
to write,schreiben
to see,sehen
to look,schauen
to hear,hören
to listen,zuhören
to smell,riechen
to taste,schmecken
to feel,fühlen
to touch,berühren
to eat,essen
to drink,trinken
to sleep,schlafen
to wake up,aufwachen
to get up,aufstehen
to live,leben
to work,arbeiten
to play,spielen
to learn,lernen
to teach,unterrichten
to help,helfen
to need,brauchen
to buy,kaufen
to sell,verkaufen
to pay,bezahlen
to rent,mieten
to drive,fahren
to fly,fliegen
to swim,schwimmen
to run,laufen
to walk,gehen
to dance,tanzen
